Year,"Country of Asylum","Country of Origin","Country of Asylum ISO","Country of Origin ISO",Refugees,Asylum-seekers,IDPs,"Other people in need of international protection","Stateless persons","Host community","Others of concern"
2020,Afghanistan,Afghanistan,AFG,AFG,0,0,2886317,0,0,0,82595
2020,Albania,Afghanistan,ALB,AFG,0,0,0,0,0,0,5
2020,Egypt,Afghanistan,EGY,AFG,34,44,0,0,0,0,0
2020,Argentina,Afghanistan,ARG,AFG,12,0,0,0,0,0,0
2020,Armenia,Afghanistan,ARM,AFG,5,0,0,0,0,0,0
2020,Australia,Afghanistan,AUS,AFG,10659,1761,0,0,0,0,0
2020,Austria,Afghanistan,AUT,AFG,40096,6473,0,0,0,0,0
2020,Azerbaijan,Afghanistan,AZE,AFG,1087,24,0,0,0,0,0
2020,Belgium,Afghanistan,BEL,AFG,4689,4215,0,0,0,0,0
2020,Belarus,Afghanistan,BLR,AFG,222,0,0,0,0,0,0
2020,Brazil,Afghanistan,BRA,AFG,143,173,0,0,0,0,0
2020,"Bosnia and Herzegovina",Afghanistan,BIH,AFG,0,33,0,0,0,0,1842
2020,Bulgaria,Afghanistan,BGR,AFG,244,942,0,0,0,0,0
2020,Canada,Afghanistan,CAN,AFG,2261,507,0,0,0,0,0
2020,China,Afghanistan,CHN,AFG,20,12,0,0,0,0,0
2020,Chile,Afghanistan,CHL,AFG,13,13,0,0,0,0,0
2020,Colombia,Afghanistan,COL,AFG,9,0,0,0,0,0,0
2020,Cuba,Afghanistan,CUB,AFG,28,0,0,0,0,0,0
2020,Cyprus,Afghanistan,CYP,AFG,16,17,0,0,0,0,0
2020,Czechia,Afghanistan,CZE,AFG,39,5,0,0,0,0,0
2020,Denmark,Afghanistan,DNK,AFG,2134,82,0,0,0,0,0
2020,"Dominican Rep.",Afghanistan,DOM,AFG,0,8,0,0,0,0,0
2020,Ecuador,Afghanistan,ECU,AFG,146,5,0,0,0,0,0
2020,Fiji,Afghanistan,FJI,AFG,8,0,0,0,0,0,0
2020,Finland,Afghanistan,FIN,AFG,3331,928,0,0,0,0,0
2020,France,Afghanistan,FRA,AFG,31546,13560,0,0,0,0,0
2020,"United Kingdom of Great Britain and Northern Ireland",Afghanistan,GBR,AFG,9351,3227,0,0,0,0,0
2020,Georgia,Afghanistan,GEO,AFG,11,18,0,0,0,0,0
2020,Germany,Afghanistan,DEU,AFG,147994,33103,0,0,0,0,0
2020,Greece,Afghanistan,GRC,AFG,21456,19706,0,0,0,0,0
2020,"China, Hong Kong SAR",Afghanistan,HKG,AFG,10,0,0,0,0,0,0
2020,Croatia,Afghanistan,HRV,AFG,54,351,0,0,0,0,115
2020,Hungary,Afghanistan,HUN,AFG,1503,17,0,0,0,0,0
2020,Iceland,Afghanistan,ISL,AFG,121,5,0,0,0,0,0
2020,India,Afghanistan,IND,AFG,8275,6857,0,0,0,0,0
2020,Indonesia,Afghanistan,IDN,AFG,5863,1739,0,0,0,0,0
2020,Ireland,Afghanistan,IRL,AFG,420,159,0,0,0,0,0
2020,"Iran (Islamic Rep. of)",Afghanistan,IRN,AFG,780000,0,0,0,0,0,0
2020,Iraq,Afghanistan,IRQ,AFG,11,64,0,0,0,0,0
2020,Italy,Afghanistan,ITA,AFG,12096,1339,0,0,0,0,0
2020,Jordan,Afghanistan,JOR,AFG,8,11,0,0,0,0,0
2020,Japan,Afghanistan,JPN,AFG,73,0,0,0,0,0,0
2020,Kazakhstan,Afghanistan,KAZ,AFG,408,198,0,0,0,0,0
2020,Kenya,Afghanistan,KEN,AFG,11,8,0,0,0,0,0
2020,Kyrgyzstan,Afghanistan,KGZ,AFG,219,41,0,0,0,0,0
2020,"Rep. of Korea",Afghanistan,KOR,AFG,42,45,0,0,0,0,0
2020,Kuwait,Afghanistan,KWT,AFG,0,17,0,0,0,0,0
2020,Libya,Afghanistan,LBY,AFG,0,5,0,0,0,0,0
2020,Lebanon,Afghanistan,LBN,AFG,13,7,0,0,0,0,0
2020,Liechtenstein,Afghanistan,LIE,AFG,5,0,0,0,0,0,0
2020,"Sri Lanka",Afghanistan,LKA,AFG,142,25,0,0,0,0,0
2020,Lithuania,Afghanistan,LTU,AFG,230,9,0,0,0,0,0
2020,Luxembourg,Afghanistan,LUX,AFG,317,146,0,0,0,0,0
2020,Latvia,Afghanistan,LVA,AFG,63,5,0,0,0,0,0
2020,Madagascar,Afghanistan,MDG,AFG,10,9,0,0,0,0,0
2020,"North Macedonia",Afghanistan,MKD,AFG,6,6,0,0,0,0,0
2020,"Rep. of Moldova",Afghanistan,MDA,AFG,24,0,0,0,0,0,0
2020,Mexico,Afghanistan,MEX,AFG,5,0,0,0,0,0,0
2020,Malaysia,Afghanistan,MYS,AFG,1517,1153,0,0,0,0,0
